Country.Code,Lyric,Country.Short.Name,Start.Time,End.Time,Flag.Filename,Extra.Info,Notes
,Sumatra,Sumatra,1:03.940,1:04.368,indonesia-flag.svg,Island of Indonesia,Island of Indonesia
NZL,New Zealand,New Zealand,1:04.368,1:04.863,new-zealand-flag.svg,,
BRN,Borneo,Brunei (alt.),1:05.017,1:05.501,brunei-flag.svg,,"Island of Indonedia, also has Brunei and parts of Malasia"
VNM,Vietnam,Vietnam,1:05.649,1:06.390,vietnam-flag.svg,,
TUN,Tunisia,Tunisia,1:06.390,1:07.062,tunisia-flag.svg,,
MAR,Morocco,Morocco,1:07.062,1:07.508,morocco-flag.svg,,
UGA,Uganda,Uganda,1:07.508,1:07.958,uganda-flag.svg,,
AGO,Angola,Angola,1:07.958,1:08.404,angola-flag.svg,,
ZWE,Zimbabwe,Zimbabwe,1:08.404,1:08.858,zimbabwe-flag.svg,,
DJI,Djibouti,Djibouti,1:08.858,1:09.292,djibouti-flag.svg,,
BWA,Botswana,Botswana,1:09.292,1:10.034,botswana-flag.svg,,
MOZ,Mozambique,Mozambique,1:10.370,1:10.765,mozambique-flag.svg,,
ZMB,Zambia,Zambia,1:10.765,1:11.171,zambia-flag.svg,,
SWZ,Swaziland,Eswatini,1:11.171,1:11.688,swaziland-flag.svg,,Eswatini
GMB,Gambia,The Gambia,1:11.688,1:12.124,gambia-flag.svg,,
GIN,Guinea,Guinea,1:12.124,1:12.422,guinea-flag.svg,,
DZA,Algeria,Algeria,1:12.422,1:13.014,algeria-flag.svg,,
GHA,Ghana,Ghana,1:13.014,1:13.885,ghana-flag.svg,,BREAK
BDI,Burundi,Burundi,1:16.124,1:16.451,burundi-flag.svg,,
LSO,Lesotho,Lesotho,1:16.451,1:16.860,lesotho-flag.svg,,
MWI,Malawi,Malawi,1:17.003,1:17.412,malawi-flag.svg,,
TGO,Togo,Togo,1:17.412,1:17.667,togo-flag.svg,,
,The Spanish Sahara,Western Sahara,1:17.667,1:18.432,,"Disputed territory: SADR, Morocco",
NER,Niger,Niger,1:19.307,1:19.677,niger-flag.svg,,
NGA,Nigeria,Nigeria,1:19.677,1:20.197,nigeria-flag.svg,,
TCD,Chad,Chad,1:20.197,1:20.359,chad-flag.svg,,
LBR,Liberia,Liberia,1:20.441,1:21.008,liberia-flag.svg,,
EGY,Egypt,Egypt,1:21.008,1:21.278,egypt-flag.svg,,
BEN,Benin,Benin,1:21.278,1:21.565,benin-flag.svg,,
GAB,Gabon,Gabon,1:21.676,1:22.196,gabon-flag.svg,,
TZA,Tanzania,Tanzania,1:22.196,1:22.813,tanzania-flag.svg,,
SOM,Somalia,Somalia,1:22.813,1:23.409,somalia-flag.svg,,
KEN,Kenya,Kenya,1:23.409,1:23.668,kenya-flag.svg,,
MLI,Mali,Mali,1:23.804,1:24.030,mali-flag.svg,,
SLE,Sierra Leone,Sierra Leone,1:24.030,1:24.737,sierra-leone-flag.svg,,
,Algiers,Algiers,1:24.891,1:25.437,algeria-flag.svg,Capital of Algeria,Capital of Algeria
,Dahomey,Dahomey,1:25.634,1:26.007,benin-flag.svg,See Benin,Same as Benin
NAM,Namibia,Namibia,1:26.007,1:26.521,namibia-flag.svg,,
SEN,Senegal,Senegal,1:26.521,1:27.023,senegal-flag.svg,,
LBY,Libya,Libya,1:27.023,1:27.385,libya-flag.svg,,
CMR,Cameroon,Cameroon,1:27.385,1:27.802,cameroon-flag.svg,,
COG,Congo,Congo,1:27.802,1:28.056,congo-republic-of-the-flag.svg,,
COD,Zaire,Dem. Rep. Congo,1:28.056,1:28.667,congo-democratic-republic-of-the-flag.svg,,Democratic Republic of the Congo (DRC)
ETH,Ethiopia,Ethiopia,1:28.667,1:29.385,ethiopia-flag.svg,,
GNB,Guinea-Bissau,Guinea-Bissau,1:29.385,1:29.923,guinea-bissau-flag.svg,,
MDG,Madagascar,Madagascar,1:29.923,1:30.454,madagascar-flag.svg,,
RWA,Rwanda,Rwanda,1:30.454,1:30.831,rwanda-flag.svg,,
COM,Mahore,Comoros (alt.),1:30.831,1:31.133,comoros-flag.svg,,Disputed region between France and Comoros (Mayotte)
CYM,Cayman,Cayman Islands,1:31.244,1:31.743,cayman-islands-flag.svg,,
HKG,Hong Kong,Hong Kong,1:32.048,1:32.371,hongkong-flag.svg,,
ARE,Abu Dhabi,United Arab Emirates,1:32.371,1:32.873,united-arab-emirates-flag.svg,,Capital of United Arab Emirates (UAE)
QAT,Qatar,Qatar,1:32.873,1:33.167,qatar-flag.svg,,
,Yugoslavia,Yugoslavia,1:33.167,1:33.774,yugoslavia-flag.svg,Disintegrated in 1992,"Broken into Slovenia, Croatia, North Macedonia, Serbia, Montenegro, and Bosnia and Herzegovina"
,Crete,Crete,1:34.115,1:34.344,greece-flag.svg,Island of Greece,
MRT,Mauritania,Mauritania,1:34.344,1:35.008,mauritania-flag.svg,,
,Transylvania,Transylvania,1:35.145,1:35.798,transylvania-flag.svg,Historical/cultural region in Romania,Part of Ramania
MCO,Monaco,Monaco,1:35.798,1:36.132,monaco-flag.svg,,
LIE,Liechtenstein,Liechtenstein,1:36.132,1:36.569,liechtenstein-flag.svg,,
MLT,Malta,Malta,1:36.569,1:36.831,malta-flag.svg,,
PSE,Palestine,Palestine,1:36.989,1:37.402,palestine-flag.svg,,West Bank and Gaza
FJI,Fiji,Fiji,1:37.402,1:37.671,fiji-flag.svg,,
AUS,Australia,Australia,1:37.671,1:38.019,australia-flag.svg,,
SDN,Sudan,Sudan,1:38.019,1:38.425,sudan-flag.svg,,
